"TCGA-OR-A5J2-01A-11R-A29W-13"	"TCGA-OR-A5J3-01A-11R-A29W-13"	"TCGA-OR-A5J6-01A-31R-A29W-13"	"TCGA-OR-A5J7-01A-11R-A29W-13"	"TCGA-OR-A5J8-01A-11R-A29W-13"	"TCGA-OR-A5J9-01A-11R-A29W-13"	"TCGA-OR-A5JA-01A-11R-A29W-13"	"TCGA-OR-A5JP-01A-11R-A29W-13"	"TCGA-OR-A5JR-01A-11R-A29W-13"	"TCGA-OR-A5JS-01A-11R-A29W-13"	"TCGA-OR-A5JT-01A-11R-A29W-13"	"TCGA-OR-A5JV-01A-11R-A29W-13"	"TCGA-OR-A5JW-01A-11R-A29W-13"	"TCGA-OR-A5JY-01A-31R-A29W-13"	"TCGA-OR-A5JZ-01A-11R-A29W-13"	"TCGA-OR-A5K0-01A-11R-A29W-13"	"TCGA-OR-A5K1-01A-11R-A29W-13"	"TCGA-OR-A5K3-01A-11R-A29W-13"	"TCGA-OR-A5K4-01A-11R-A29W-13"	"TCGA-OR-A5K5-01A-11R-A29W-13"	"TCGA-OR-A5K6-01A-11R-A29W-13"	"TCGA-OR-A5K8-01A-11R-A29W-13"	"TCGA-OR-A5KO-01A-11R-A29W-13"	"TCGA-OR-A5KU-01A-11R-A29W-13"	"TCGA-OR-A5KW-01A-11R-A29W-13"	"TCGA-OR-A5KX-01A-11R-A29W-13"	"TCGA-OR-A5KY-01A-11R-A29W-13"	"TCGA-OR-A5KZ-01A-11R-A29W-13"	"TCGA-OR-A5LD-01A-11R-A29W-13"	"TCGA-OR-A5LG-01A-11R-A29W-13"	"TCGA-OR-A5LH-01A-11R-A29W-13"	"TCGA-OR-A5LJ-01A-11R-A29W-13"	"TCGA-OR-A5LK-01A-11R-A29W-13"	"TCGA-OR-A5LL-01A-11R-A29W-13"	"TCGA-OR-A5LN-01A-11R-A29W-13"	"TCGA-OR-A5LO-01A-11R-A29W-13"	"TCGA-OR-A5LP-01A-11R-A29W-13"	"TCGA-OR-A5LS-01A-11R-A29W-13"	"TCGA-OR-A5LT-01A-11R-A29W-13"	"TCGA-OU-A5PI-01A-12R-A29W-13"	"TCGA-PA-A5YG-01A-11R-A29W-13"	"TCGA-PK-A5H9-01A-11R-A29W-13"	"TCGA-PK-A5HA-01A-11R-A29W-13"
"hsa-mir-7-1"	204	63	28	269	89	40	211	93	71	173	25	229	130	219	100	1096	84	77	138	94	106	145	118	58	30	122	274	233	439	102	178	53	71	121	96	509	68	157	104	140	60	68	88
"hsa-mir-7-2"	0	6	0	8	1	1	4	3	0	2	2	58	5	10	5	3	2	4	22	3	2	1	3	2	7	4	7	7	2	3	65	1	1	2	0	52	0	8	1	7	0	1	2
"hsa-mir-7-3"	1	1	0	2	1	0	4	1	2	4	0	104	0	2	3	2	4	3	15	4	1	2	6	1	1	4	3	3	1	1	55	0	1	0	0	102	0	2	3	1	2	1	2
"hsa-mir-708"	696	348	54	401	2292	22	183	90	1058	10	683	373	678	59	1740	356	695	298	2965	24	96	282	646	14	170	263	295	684	203	264	168	51	380	457	579	36	271	204	328	396	582	24	2036
"hsa-mir-744"	204	67	81	88	123	94	198	104	114	57	92	155	45	232	148	131	51	107	150	75	41	92	62	37	47	44	108	189	277	67	84	28	87	55	92	37	56	62	197	62	107	207	109
"hsa-mir-758"	34	3578	1860	2286	466	6	4212	1634	9	1843	9	22	17	19	17	12	16	686	3409	1181	987	30	3468	28	3102	961	28	2818	2843	684	16	577	49	233	1114	2222	12	1980	228	626	12	2731	37
"hsa-mir-760"	14	11	6	5	1	4	3	18	2	2	5	5	1	12	9	1	2	1	10	7	13	0	0	6	3	4	8	2	4	4	0	4	3	1	8	24	2	6	4	4	3	1	4
"hsa-mir-765"	9	0	4	4	0	4	1	9	5	1	2	2	2	2	5	2	0	5	2	5	0	2	1	2	5	10	2	1	7	1	2	1	6	0	5	4	3	2	4	3	5	9	2
"hsa-mir-766"	364	381	36	108	84	112	673	74	214	350	98	226	340	299	98	158	120	217	107	48	187	404	189	171	359	40	731	100	236	98	132	65	104	74	121	412	59	322	91	445	145	21	260
"hsa-mir-767"	23	3	1	1	21	0	121	5	53	1	211	10	1	266	8	154	134	6	279	3	2	3	0	1	79	1	4	2	0	8	2	1	4	0	0	1	0	4	158	0	0	2	2
"hsa-mir-769"	81	105	40	117	65	207	389	66	112	172	49	225	124	143	102	110	63	168	106	65	93	68	81	86	130	256	149	251	218	46	90	36	184	40	119	178	54	160	180	71	109	75	168
"hsa-mir-770"	0	23	9	10	7	0	27	67	0	13	0	1	0	0	0	0	0	1	9	16	31	0	6	0	16	49	0	18	38	2	0	7	0	2	0	20	0	3	3	1	0	2	0
"hsa-mir-873"	0	0	13	0	0	1	0	0	20	0	11	0	0	0	27	0	0	0	2	0	0	1	0	0	0	0	0	0	5	0	0	0	5	0	10	0	0	0	21	1	0	0	0
"hsa-mir-874"	795	376	582	240	150	333	1326	321	1490	798	1134	1207	1295	504	2017	781	1271	912	1066	187	396	1228	404	639	360	208	104	409	276	249	722	184	696	605	851	662	660	1057	1034	1087	744	1452	627
"hsa-mir-876"	0	0	9	0	0	0	2	0	8	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	18	0	0	0	13	0	0	0	0
"hsa-mir-877"	13	18	14	20	16	43	21	78	11	47	4	19	10	71	19	23	4	14	29	37	8	5	12	14	28	67	20	51	88	19	10	4	12	25	30	31	11	10	16	22	11	28	17
"hsa-mir-885"	505	80	32	312	1	361	471	19	4	17	2	105	132	60	2	1	411	272	14	51	14	549	41	73	371	107	825	3	7	16	354	98	11	4	1	3029	2	987	1	408	15	1	116
"hsa-mir-887"	481	163	14	238	424	1319	341	647	175	569	104	156	60	3025	362	414	181	143	224	655	300	198	154	315	80	410	604	821	2891	132	94	100	138	77	245	1555	80	182	224	336	275	8	91
"hsa-mir-889"	42	3884	7829	10466	823	8	6517	5512	37	5410	11	28	42	52	21	20	29	2272	10420	3634	1218	68	9514	37	12126	5825	34	5313	4525	3024	44	888	110	676	3891	27910	41	13738	442	3373	35	11407	150
"hsa-mir-891a"	57	18	0	1	295	1	144	8	38	2	13	8	5	7	3	26	3	14	119	1	0	20	10	13	36	0	21	5	4	0	11	4	2	22	9	1	36	7	1194	13	4	2	0
"hsa-mir-9-1"	14842	96518	1654	19852	915	16116	19183	122079	62377	704	4661	10782	815	21373	421	14561	39065	10885	258637	52235	589	15073	1445	314036	136898	2005	144274	368119	313969	118541	27384	2601	729	2221	2762	398737	386	53855	3923	8060	499	263	417
"hsa-mir-9-2"	14785	96526	1659	19849	921	16132	18874	122765	62174	680	4794	10794	779	21299	467	14397	38752	10885	258512	52049	610	15126	1487	314298	136939	2030	144708	366632	313823	119844	27452	2609	750	2178	2713	399356	368	53907	3883	7990	468	245	419
"hsa-mir-9-3"	23	257	3	31	2	37	38	242	54	1	4	9	2	25	0	27	72	22	309	64	1	30	2	734	284	4	263	609	305	234	45	6	1	3	6	644	0	123	2	10	0	0	2
"hsa-mir-92a-1"	1742	1673	1040	812	2334	2282	2278	1214	1209	1013	582	1196	1293	1172	1209	1421	785	2357	2701	316	1090	2000	2359	787	1232	2249	670	1707	1155	1664	1782	1481	1149	1712	1415	1629	1223	1697	1631	1183	1623	2216	1444
"hsa-mir-92a-2"	36624	20134	15074	11329	33827	27178	37094	17351	13262	17227	7082	17520	14753	19919	12011	23627	8887	24128	28067	5381	21470	24764	22394	13586	25272	37428	14032	26583	13818	23163	22303	17071	14826	21381	17900	28526	12746	22266	15370	23342	29580	25212	19710
"hsa-mir-92b"	559	375	33	45	148	435	141	733	39	963	30	30	365	111	44	36	35	92	67	115	245	107	210	225	215	15	1322	341	552	180	68	221	10	104	197	107	212	407	4	561	310	36	31
"hsa-mir-93"	30375	8157	6040	31885	22020	33979	44269	18658	20812	24229	14312	18420	21592	65263	16618	22663	24424	27818	14730	5129	12320	25665	24135	10804	9182	21393	34104	93113	19662	11497	19674	5030	27275	16021	18725	11846	12587	15366	14934	7390	18119	9218	16407
"hsa-mir-935"	18	85	2	39	1	73	525	4	8	14	4	5	1	3	2	2	20	0	2	6	2	776	1	2	8	4	39	2	51	1	95	51	1	2	1	6	3	12	1	16	2	4	5
"hsa-mir-937"	5	3	22	13	9	5	6	76	2	3	2	3	0	13	4	10	1	3	3	16	1	1	2	1	9	21	8	44	1	2	0	0	5	1	3	4	1	2	2	0	2	9	3
"hsa-mir-939"	5	2	2	0	2	3	3	9	6	6	2	4	1	2	0	4	1	1	4	4	1	1	5	4	4	2	5	4	1	2	5	0	1	4	7	5	1	3	1	2	2	0	0
"hsa-mir-940"	1	1	3	14	10	10	26	23	18	8	6	7	3	20	12	6	9	4	26	7	9	8	13	7	13	51	14	43	54	0	3	4	7	0	4	14	1	10	7	3	5	17	17
"hsa-mir-942"	18	17	10	52	56	5	127	22	13	23	8	22	19	31	32	40	23	60	37	9	33	14	23	5	12	8	44	42	10	25	43	5	16	20	23	31	16	29	4	12	25	26	21
"hsa-mir-95"	157	77	12	12	4	20	370	5	12	144	30	8	91	166	3	200	34	32	1	16	115	223	40	63	209	31	88	56	25	48	71	45	17	23	1	123	6	105	1	139	19	71	13
"hsa-mir-96"	184	17	5	131	15	41	41	165	12	512	17	153	79	96	3	966	5	8	17	215	12	7	29	30	12	5365	87	249	60	73	29	154	112	18	97	476	9	22	2	206	70	5	143
"hsa-mir-98"	539	360	453	204	665	515	518	550	379	292	577	208	280	34	616	307	523	455	1151	43	94	189	402	270	828	860	262	869	658	375	391	152	579	213	634	1001	152	167	253	199	248	662	834
"hsa-mir-99a"	9102	728	6497	118	1941	2554	1276	1898	7219	929	4209	698	4204	886	5909	145	2175	4389	7049	394	564	1212	567	543	1438	269	1414	3746	247	5145	1067	375	3013	4988	4133	739	2500	1121	7891	1470	4947	10809	294
"hsa-mir-99b"	641520	320877	235685	266902	219583	1073087	489821	642282	1080987	137858	194643	418415	255653	286781	411634	229465	398051	697684	735792	265429	209675	548402	276669	391158	1000384	602348	1308502	460202	767828	382725	134882	100755	470375	125976	749375	750410	449069	329689	772211	567519	532208	398723	612580
